Days_Since_10,New_Cases,Cum_Cases
1,1,11
2,2,13
3,5,18
4,4,22
5,8,30
6,12,42
7,5,47
8,22,69
9,40,109
10,55,164
11,56,220
12,51,271
13,81,352
14,60,412
15,57,469
16,148,617
17,259,876
18,406,1282
19,484,1766
20,478,2244
21,361,2605
22,442,3047
23,610,3657
24,770,4427
25,999,5426
26,1053,6479
27,1259,7738
28,1196,8934
29,1378,10312
30,2335,12647
